ft,site,plot,asn,aco,lat_dd,long_dd
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,1,1,42.4881,-71.898
TS,WA1,WA1TS,1,2,42.4881,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,2,3,42.4877,-71.898
TS,WA1,WA1TS,2,4,42.4877,-71.898
TS,WA1,WA1TS,3,5,42.4875,-71.8985
TS,WA1,WA1TS,3,6,42.4875,-71.8985
TS,WA1,WA1TS,3,5,42.4875,-71.8985
TS,WA1,WA1TS,3,6,42.4875,-71.8985
TS,WA1,WA1TS,3,5,42.4875,-71.8985
TS,WA1,WA1TS,3,6,42.4875,-71.8985
TS,WA1,WA1TS,3,5,42.4875,-71.8985
TS,WA1,WA1TS,3,6,42.4875,-71.8985
TS,WA1,WA1TS,3,5,42.4875,-71.8985
TS,WA1,WA1TS,3,6,42.4875,-71.8985
