plot,site,ft,asn,lat,long,datum,ba ,st.ha,ts,bearing,aspect,slope,canopy.cover,cwd.no,cwd.con,vcwd,vcwd.con,avg.dc,tot.snags,avg.snag.ht,avg.snag.dbh,soil.ph
WA1TS,WA1,TS,1,N 42°29.285',W 71°53.882',NAD83,56.1,736,0.98,293,NW,10,91,5,4,6.2,5.5,4.6,2,3,10,3.854
WA1TS,WA1,TS,2,N 42°29.262',W 71°53.882',NAD83,60.2,736,0.8,298,NW,10,88,10,8,82.1,80.7,3.1,0,0,0,3.827
WA1TS,WA1,TS,3,N 42°29.250',W 71°53.909',NAD83,42.6,1358,1,300,NW,5,92,7,4,44.6,39.6,3.9,4,9,33,4.026
WA1TS,WA1,TS,4,N 42°29.271',W 71°53.921',NAD83,68.2,453,1,304,NW,16,88,13,7,32.6,25,3,0,0,0,3.915
WA1TS,WA1,TS,5,N 42°29.275',W 71°53.891',NAD83,62.7,905,0.77,314,NW,12,84,6,5,25.8,25.4,3.7,2,7,14,3.684
WA1MD,WA1,MD,1,N 42°29.325',W 71°54.015',NAD83,39.4,905,0,265,W,5,95,5,2,28.3,23.4,2.4,2,9,12,4.108
WA1MD,WA1,MD,2,N 42°29.328',W 71°53.982',NAD83,12.5,736,0,274,W,5,97,6,3,33.5,4.3,2.3,3,5,14,3.889
WA1MD,WA1,MD,3,N 42°29.300',W 71°53.990',NAD83,13.3,962,0,301,NW,6,93,3,3,6.7,6.7,3.7,1,2,10,3.643
WA1MD,WA1,MD,4,N 42°29.314',W 71°54.016',NAD83,41.2,566,0,268,W,5,93,6,1,9.5,2.2,2.7,0,0,0,3.682
WA1MD,WA1,MD,5,N 42°29.315',W 71°54.003',NAD83,22.7,905,0,280,W,7,94,8,7,17.7,16.7,3.6,3,5,14,4.243
WA2TS,WA2,TS,1,N 42°28.951',W 71°53.316',NAD83,33.5,340,1,256,W,8,93,9,8,94.9,94.1,3,2,4,20,4.098
WA2TS,WA2,TS,2,N 42°28.967',W 71°53.304',NAD83,45.7,283,0.31,268,W,10,91,8,6,49.2,41.6,3.8,3,8,29,4.028
