stem.master,plot,asn,stem.asn,species,dbh,alive,sh
1,SC2MD,1,1,TSCA,26.3,Y,NA
2,SC2MD,1,2,TSCA,6,Y,NA
3,SC2MD,1,3,TSCA,14.7,Y,NA
4,SC2MD,1,4,ACRU,35.6,Y,NA
5,SC2MD,1,5,FAGR,9.8,Y,NA
6,SC2MD,1,6,TSCA,6,Y,NA
7,SC2MD,1,7,TSCA,11,N,6
8,SC2MD,1,8,UNKNOWN,19.3,N,NA
9,SC2MD,1,9,TSCA,30.5,Y,NA
10,SC2MD,1,10,TSCA,8.5,Y,NA
11,SC2MD,1,11,ACRU,15.6,Y,NA
12,SC2MD,1,12,BEPA,28.5,Y,NA
13,SC2MD,1,13,TSCA,17.9,Y,NA
14,SC2MD,1,14,TSCA,19.5,Y,NA
15,SC2MD,1,15,TSCA,11.7,Y,NA
16,SC2MD,1,16,FAGR,11.4,Y,NA
17,SC2MD,1,17,FAGR,6.5,Y,NA
18,SC2MD,1,18,FAGR,14.2,Y,NA
19,SC2MD,1,19,FAGR,24.2,N,15
20,SC2MD,1,20,TSCA,15.2,Y,NA
21,SC2MD,1,21,BELE,9,Y,NA
22,SC2MD,2,1,TSCA,22,Y,NA
23,SC2MD,2,2,FAGR,8.8,N,3
24,SC2MD,2,3,BEPA,25.4,Y,NA
25,SC2MD,2,4,BEPA,18.2,Y,NA
26,SC2MD,2,5,TSCA,28.1,Y,NA
27,SC2MD,2,6,FAGR,16.9,Y,NA
28,SC2MD,2,7,BEAL,22.5,Y,NA
29,SC2MD,2,8,FAGR,20.1,Y,NA
30,SC2MD,2,9,TSCA,8.2,Y,NA
31,SC2MD,2,10,QURU,33.3,Y,NA
32,SC2MD,2,11,BEAL,14.3,Y,NA
33,SC2MD,2,12,TSCA,11.1,Y,NA
34,SC2MD,2,13,TSCA,5.1,Y,NA
35,SC2MD,2,14,TSCA,6.3,Y,NA
36,SC2MD,2,15,TSCA,8.7,Y,NA
37,SC2MD,2,16,FAGR,13,Y,NA
38,SC2MD,2,17,BEPA,32.6,Y,NA
39,SC2MD,2,18,ACRU,29.6,Y,NA
40,SC2MD,2,19,ACRU,23.7,Y,NA
41,SC2MD,2,20,FAGR,13.5,Y,NA
42,SC2MD,2,21,TSCA,11.5,Y,NA
43,SC2MD,2,22,ACRU,17.6,Y,NA
44,SC2MD,2,23,TSCA,7,Y,NA
45,SC2MD,2,24,TSCA,16.9,Y,NA
46,SC2MD,2,25,TSCA,6,Y,NA
47,SC2MD,2,26,TSCA,17.9,Y,NA
48,SC2MD,2,27,ACRU,14.6,Y,NA
49,SC2MD,2,28,FAGR,13.5,Y,NA
50,SC2MD,2,29,TSCA,9.2,Y,NA
51,SC2MD,2,30,FAGR,9.9,Y,NA
52,SC2MD,2,31,TSCA,12.7,Y,NA
53,SC2MD,2,32,TSCA,6.1,Y,NA
54,SC2MD,3,1,FAGR,22.2,Y,NA
55,SC2MD,3,2,FAGR,9,Y,NA
56,SC2MD,3,3,FAGR,11.7,Y,NA
57,SC2MD,3,4,FAGR,6.4,Y,NA
58,SC2MD,3,5,BELE,14,Y,NA
59,SC2MD,3,6,BEPA,21.1,Y,NA
60,SC2MD,3,7,TSCA,22.1,Y,NA
61,SC2MD,3,8,BELE,15.6,Y,NA
62,SC2MD,3,9,FAGR,25.1,N,3
63,SC2MD,3,10,FAGR,17.8,N,2
64,SC2MD,3,11,TSCA,16.4,Y,NA
65,SC2MD,3,12,QURU,25.8,Y,NA
66,SC2MD,3,13,TSCA,6.5,Y,NA
67,SC2MD,3,14,FAGR,13.3,N,4
68,SC2MD,3,15,BEPA,19.8,Y,NA
69,SC2MD,3,16,TSCA,33.7,Y,NA
70,SC2MD,3,17,TSCA,14.7,Y,NA
71,SC2MD,3,18,PIST,13.7,Y,NA
72,SC2MD,3,19,ACRU,11.6,N,5
73,SC2MD,3,20,FAGR,14.6,N,2.5
74,SC2MD,3,21,FAGR,18,Y,NA
75,SC2MD,3,22,TSCA,14.6,Y,NA
76,SC2MD,3,23,FAGR,12.4,N,10
77,SC2MD,3,24,FAGR,22.5,N,2
78,SC2MD,3,25,TSCA,5.7,Y,NA
79,SC2MD,3,26,ACRU,22.1,Y,NA
80,SC2MD,3,27,FAGR,13.6,Y,NA
81,SC2MD,4,1,FAGR,8,Y,NA
82,SC2MD,4,2,ACRU,16.1,Y,NA
83,SC2MD,4,3,TSCA,8.7,Y,NA
84,SC2MD,4,4,QURU,35.2,Y,NA
85,SC2MD,4,5,QURU,22.3,Y,NA
86,SC2MD,4,6,FAGR,9.9,Y,NA
87,SC2MD,4,7,TSCA,12.6,Y,NA
88,SC2MD,4,8,TSCA,6,Y,NA
89,SC2MD,4,9,TSCA,7.3,Y,NA
90,SC2MD,4,10,TSCA,6.1,Y,NA
91,SC2MD,4,11,TSCA,21,Y,NA
92,SC2MD,4,12,TSCA,10,Y,NA
93,SC2MD,4,13,TSCA,7.2,Y,NA
94,SC2MD,4,14,TSCA,18.5,Y,NA
95,SC2MD,4,15,ACRU,12.2,Y,NA
96,SC2MD,4,16,ACRU,14.6,Y,NA
97,SC2MD,4,17,QURU,32,Y,NA
98,SC2MD,4,18,QURU,39.9,Y,NA
99,SC2MD,4,19,FAGR,8.1,Y,NA
100,SC2MD,4,20,OSVI,7.3,Y,NA
101,SC2MD,4,21,QURU,46.1,Y,NA
102,SC2MD,4,22,FAGR,6.9,Y,NA
103,SC2MD,4,23,BEPA,23,N,10
104,SC2MD,4,24,TSCA,7.4,Y,NA
105,SC2MD,4,25,FAGR,5.4,N,1
106,SC2MD,4,26,BEPA,30.2,Y,NA
107,SC2MD,4,27,BELE,13.3,Y,15
108,SC2MD,4,28,FAGR,25.4,N,NA
109,SC2MD,4,29,TSCA,22,Y,NA
110,SC2MD,4,30,FAGR,25.6,Y,NA
111,SC2MD,4,31,FAGR,19.5,Y,NA
112,SC2MD,4,32,TSCA,5.5,Y,NA
113,SC2MD,4,33,FAGR,16,Y,NA
114,SC2MD,4,34,FAGR,6.1,Y,NA
115,SC2MD,4,35,ACRU,19.1,Y,NA
116,SC2MD,4,36,TSCA,6,Y,NA
117,SC2MD,4,37,QURU,42.8,Y,NA
118,SC2MD,5,1,QURU,34.1,Y,NA
119,SC2MD,5,2,ACRU,14.3,Y,NA
120,SC2MD,5,3,QURU,22.1,Y,NA
121,SC2MD,5,4,QURU,40.6,Y,NA
122,SC2MD,5,5,FAGR,8.9,N,6
123,SC2MD,5,6,FAGR,12.3,N,12
124,SC2MD,5,7,BELE,10.9,Y,NA
125,SC2MD,5,8,TSCA,21.5,Y,NA
126,SC2MD,5,9,TSCA,13.1,Y,NA
127,SC2MD,5,10,ACRU,9.9,Y,NA
128,SC2MD,5,11,TSCA,13,Y,NA
129,SC2MD,5,12,FAGR,8.8,Y,NA
130,SC2MD,5,13,TSCA,10.2,Y,NA
131,SC2MD,5,14,BELE,11.8,Y,NA
132,SC2MD,5,15,TSCA,14.1,Y,NA
133,SC2MD,5,16,BELE,15.4,Y,NA
134,SC2MD,5,17,ACRU,7.4,N,8
135,SC2MD,5,18,BEPA,25.9,Y,NA
136,SC2MD,5,19,FAGR,9.5,N,7
137,SC2MD,5,20,TSCA,10.6,Y,NA
138,SC2MD,5,21,TSCA,14.1,Y,NA
139,SC2MD,5,22,TSCA,14.3,Y,NA
140,SC2MD,5,23,TSCA,5,Y,NA
141,SC2MD,5,24,TSCA,12.2,Y,NA
142,SC2MD,5,25,FAGR,8.3,Y,NA
143,SC2MD,5,26,FAGR,14.9,Y,NA
144,SC2MD,5,27,FAGR,8.4,Y,NA
145,SC2MD,5,28,FAGR,7.8,Y,NA
146,SC2MD,5,29,TSCA,7.8,Y,NA
147,SC2MD,5,30,FAGR,6,Y,NA
148,SC2MD,5,31,ACRU,31.3,Y,NA
149,SC2MD,5,32,TSCA,10.8,Y,NA
150,SC2MD,5,33,FAGR,7.5,Y,NA
151,SC2MD,5,34,TSCA,7,Y,NA
152,SC2MD,5,35,ACRU,8,Y,NA
153,SC2TS,1,1,QURU,36.1,Y,NA
154,SC2TS,1,2,TSCA,35.3,Y,NA
155,SC2TS,1,3,ACRU,6.8,Y,NA
156,SC2TS,1,4,QURU,43.4,Y,NA
157,SC2TS,1,5,QURU,36.4,Y,NA
158,SC2TS,1,6,TSCA,18,Y,NA
159,SC2TS,1,7,TSCA,5.6,Y,NA
160,SC2TS,1,8,ACRU,19.7,Y,NA
161,SC2TS,1,9,TSCA,11.1,Y,NA
162,SC2TS,1,10,TSCA,26.8,Y,NA
163,SC2TS,1,11,QURU,38,Y,NA
164,SC2TS,1,12,TSCA,29.5,Y,NA
165,SC2TS,1,13,TSCA,6.6,Y,NA
166,SC2TS,1,14,QURU,30.6,Y,NA
167,SC2TS,1,15,QURU,28.1,Y,NA
168,SC2TS,1,16,TSCA,47,Y,NA
169,SC2TS,2,1,TSCA,48,Y,NA
170,SC2TS,2,2,TSCA,37.1,Y,NA
171,SC2TS,2,3,TSCA,11.4,N,8
172,SC2TS,2,4,TSCA,29.4,Y,NA
173,SC2TS,2,5,TSCA,30.4,Y,NA
174,SC2TS,2,6,BEPA,23,N,8
175,SC2TS,2,7,BEPA,15.7,N,2
176,SC2TS,2,8,TSCA,17.9,Y,NA
177,SC2TS,2,9,TSCA,9.2,N,7
178,SC2TS,2,10,BELE,27.3,Y,NA
179,SC2TS,2,11,TSCA,12.1,N ,3
180,SC2TS,2,12,TSCA,34.4,Y,NA
