cwd.no,site,ft,plot,asn,tr,species,diam,dc,c
1,SC1,TS,SC1TS,1,30,UNKN,6.2,5,Y
2,SC1,TS,SC1TS,1,30,ACRU,3.8,4,Y
3,SC1,TS,SC1TS,1,150,BELE,3.3,5,Y
4,SC1,TS,SC1TS,1,150,BEAL,5.5,3,Y
5,SC1,TS,SC1TS,1,150,FAGR,3.1,5,Y
6,SC1,TS,SC1TS,1,150,BEAL,5.1,5,Y
7,SC1,TS,SC1TS,1,150,FAGR,9.7,5,Y
8,SC1,TS,SC1TS,1,270,FAGR,6.7,3,Y
9,SC1,TS,SC1TS,1,270,FAGR,17.2,3,Y
10,SC1,TS,SC1TS,1,270,FAGR,3.2,4,Y
11,SC1,TS,SC1TS,1,270,FAGR,2.8,3,Y
12,SC1,TS,SC1TS,1,270,FAGR,6.2,4,Y
13,SC1,TS,SC1TS,2,30,UNKN,3,4,Y
14,SC1,TS,SC1TS,2,30,TSCA,43.9,2,N
15,SC1,TS,SC1TS,2,30,TSCA,22.7,2,N
16,SC1,TS,SC1TS,2,30,TSCA,5,2,Y
17,SC1,TS,SC1TS,2,30,BELE,3.3,3,Y
18,SC1,TS,SC1TS,2,30,BELE,4,3,Y
19,SC1,TS,SC1TS,2,270,TSCA,3.2,5,Y
20,SC1,TS,SC1TS,3,30,UNKN,4.9,4,Y
21,SC1,TS,SC1TS,3,30,BEPA,3.1,5,Y
22,SC1,TS,SC1TS,3,150,TSCA,27.4,5,Y
23,SC1,TS,SC1TS,3,150,FAGR,12.9,4,Y
24,SC1,TS,SC1TS,3,150,FAGR,5,5,Y
25,SC1,TS,SC1TS,3,150,TSCA,5,4,Y
26,SC1,TS,SC1TS,3,150,BEPA,2.5,3,Y
27,SC1,TS,SC1TS,3,150,BEPA,6.5,4,N
28,SC1,TS,SC1TS,3,150,BEPA,6.8,4,Y
29,SC1,TS,SC1TS,3,270,TSCA,26.7,5,Y
30,SC1,TS,SC1TS,3,270,FAGR,3,3,Y
31,SC1,TS,SC1TS,3,270,UNKN,3.9,3,Y
32,SC1,TS,SC1TS,3,270,TSCA,3.9,5,Y
33,SC1,TS,SC1TS,5,30,UNKN,3.7,3,N
34,SC1,TS,SC1TS,4,30,TSCA,6.7,5,Y
35,SC1,TS,SC1TS,4,30,UNKN,3.8,4,Y
36,SC1,TS,SC1TS,4,150,UNKN,10,5,Y
37,SC1,TS,SC1TS,4,150,UNKN,5.7,3,N
38,SC1,TS,SC1TS,4,150,TSCA,5.7,5,Y
39,SC1,TS,SC1TS,4,150,TSCA,9.2,5,Y
40,SC1,TS,SC1TS,4,150,TSCA,2.6,5,Y
41,SC1,TS,SC1TS,5,30,BEPA,8.6,3,Y
42,SC1,TS,SC1TS,5,30,FAGR,6.2,3,Y
43,SC1,TS,SC1TS,5,30,FAGR,5.9,3,Y
44,SC1,TS,SC1TS,5,30,FAGR,6.1,3,Y
45,SC1,TS,SC1TS,5,150,UNKN,9.2,4,Y
46,SC1,TS,SC1TS,5,150,ACRU,6.7,5,Y
47,SC1,MD,SC1MD,1,30,UNKN,8.9,5,Y
48,SC1,MD,SC1MD,1,30,UNKN,15.8,5,Y
49,SC1,MD,SC1MD,1,30,ACRU,10,3,Y
50,SC1,MD,SC1MD,1,30,PIST,5.8,5,Y
51,SC1,MD,SC1MD,1,150,PIST,5.8,2,Y
52,SC1,MD,SC1MD,1,150,PIST,7.6,3,Y
53,SC1,MD,SC1MD,1,150,PIST,6,4,Y
54,SC1,MD,SC1MD,1,150,PIST,3.8,3,Y
55,SC1,MD,SC1MD,1,150,PIST,12.4,4,Y
56,SC1,MD,SC1MD,1,150,PIST,14,5,Y
57,SC1,MD,SC1MD,1,150,BEAL,7.1,5,Y
58,SC1,MD,SC1MD,1,270,PIST,3.6,2,Y
59,SC1,MD,SC1MD,1,270,PIST,10.5,5,Y
60,SC1,MD,SC1MD,1,270,ACRU,5.7,3,N
61,SC1,MD,SC1MD,1,270,PIST,8,3,N
62,SC1,MD,SC1MD,1,270,ACRU,9.1,3,N
63,SC1,MD,SC1MD,1,270,ACRU,4.9,3,Y
64,SC1,MD,SC1MD,2,30,ACRU,4.7,1,N
65,SC1,MD,SC1MD,2,150,PIST,12.7,3,Y
66,SC1,MD,SC1MD,2,150,PIST,3,3,Y
67,SC1,MD,SC1MD,2,270,PIST,4.3,4,Y
68,SC1,MD,SC1MD,2,270,PIST,10.6,3,Y
69,SC1,MD,SC1MD,3,30,UNKN,10.2,5,Y
70,SC1,MD,SC1MD,3,30,BEAL,3.7,4,Y
71,SC1,MD,SC1MD,3,30,ACRU,3.8,4,Y
