pc.no,date,plot,aco,p,svl,tl,wt,sex
1,2005-06-13,PHTS,243,R,35,70,75,NA
2,2005-06-14,SC2TS,283,R,35,70,75,NA
3,2006-06-14,SC1TS,210,L,NA,NA,NA,NA
4,2005-06-16,WA1TS,3,R,35,70,92,NA
5,2005-06-16,WA2TS,24,R,35,70,82,NA
6,2005-06-16,WA3TS,41,R,30,50,50,NA
7,2005-06-16,WA3TS,47,R,30,60,60,NA
8,2005-06-16,WA3TS,49,R,35,70,70,NA
9,2006-06-16,WA3MD,58,R,NA,NA,NA,NA
10,2005-06-20,ER1TS,110,R,37,70,92,NA
11,2005-06-20,ER2TS,121,R,37,87,70,NA
12,2005-06-20,ER2TS,122,R,37,75,90,NA
13,2005-06-20,ER2TS,125,R,37,70,80,NA
14,2005-06-20,ER2MD,132,R,35,70,82,NA
15,2005-06-20,ER2MD,140,R,37,77,85,NA
16,2005-06-30,NSFMD,172,R,40,70,113,NA
17,2005-06-30,NSFTS,169,R,40,70,100,NA
18,2005-06-30,MGSFMD,193,R,45,95,155,NA
19,2005-06-30,WSFTS,142,R,35,65,77,NA
20,2005-06-30,WSFTS,148,R,35,70,66,NA
21,2005-06-30,WSFMD,153,R,35,71,61,NA
22,2005-07-01,PHTS,242,R,40,70,82,NA
23,2005-07-01,TS1TS,224,R,40,80,133,NA
24,2005-07-01,SC2TS,281,R,38,80,93,NA
25,2005-07-01,SC2TS,287,R,35,75,73,NA
26,2005-07-01,SC2TS,288,R,35,70,73,NA
27,2005-07-01,SC1MD,213,R,35,70,71,NA
28,2005-07-01,SC1TS,209,R,25,75,82,NA
29,2005-07-05,ER1TS,110,R,30,55,52,NA
30,2005-07-05,ER1MD,120,R,20,40,13,NA
31,2005-07-05,ER2TS,122,R,35,70,91,NA
32,2005-07-05,ER2TS,124,R,40,80,96,NA
33,2005-07-05,ER2TS,125,L,35,72,90,NA
34,2005-07-05,ER2TS,126,R,22,40,19,NA
35,2005-07-05,WA3TS,49,R,35,70,80,NA
36,2005-07-05,WA3MD,52,R,20,35,17,NA
37,2005-07-08,NSFTS,175,R,40,85,115,NA
38,2005-07-08,NSFMD,168,R,30,60,52,NA
39,2005-07-08,MGSFTS,184,R,30,65,51,NA
40,2005-07-08,WSFMD,152,R,35,65,78,NA
41,2005-07-08,WSFMD,155,R,40,85,144,NA
42,2005-07-25,SC1TS,209,R,40,65,84,NA
43,2005-07-25,NSFMD,175,R,50,85,111,NA
44,2005-07-25,ER1TS,109,R,40,70,87,NA
45,2005-07-25,ER1MD,112,R,35,70,86,NA
46,2005-07-28,WA1MD,19,R,25,50,23,NA
47,2005-07-28,WA2TS,24,R,45,90,118,NA
48,2005-07-28,WA3TS,49,R,35,75,88,NA
49,2005-07-28,WA3MD,51,R,NA,NA,NA,NA
50,2005-07-28,WA3MD,52,R,35,65,58,NA
51,2005-07-28,WA3MD,55,R,40,75,99,NA
52,2005-07-28,WA3MD,56,R,40,80,93,NA
53,2005-08-08,TS2TS,268,R,28,55,34,NA
54,2005-08-10,WA3TS,48,R,24,47,27,NA
55,2005-08-10,WA3MD,52,R,23,43,20,NA
56,2005-08-10,WA3MD,58,R,23,46,25,NA
57,2005-08-10,WA2TS,23,R,20,35,18,NA
58,2005-08-11,ER2MD,138,R,24,44,20,NA
59,2005-08-11,ER1MD,112,R,37,70,85,NA
60,2005-08-30,SC2TS,286,R,37,75,89,M
61,2006-08-30,SC2TS,288,R,NA,NA,NA,NA
62,2005-08-30,SC2MD,293,R,38,82,84,F
63,2005-08-30,SC2MD,300,R,27,55,42,M
64,2005-08-30,PHMD,255,R,37,82,83,M
65,2005-09-01,TS2TS,266,R,42,77,95,NA
